"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","0","8","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","0","2","1","0.000000","0","0"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","0","74","6","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","0","12","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","0","8","1","0.000000","0","0"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","0","0","52","1","0.000000","0","0"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","0","44","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","0","17","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","0","115","1","0.000000","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","92","871","1","62.566845","0","94"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","0","35","1","0.000000","0","0"
"/Game/Materials/UI_Materials/M_RoundedCorners.M_RoundedCorners","0","0","15","1","0.000000","0","0"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","0","2","1","0.000000","0","0"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","0","63","1","0.000000","0","0"
"/Game/Materials/Buildings/bldgwallnoBump_001.bldgwallnoBump_001","0","12","12","1","16.580742","0","0"
"/Game/Materials/Buildings/alulod_001.alulod_001","0","12","12","1","16.437273","0","0"
"/Game/Materials/Buildings/Doorknob_001.Doorknob_001","0","12","12","1","14.933829","0","0"
"/Game/Materials/Buildings/FrontColor_001.FrontColor_001","0","12","12","1","17.744707","0","0"
"/Game/Materials/Buildings/GreenRoofMetallic2_001.GreenRoofMetallic2_001","0","12","12","1","15.915246","0","0"
"/Game/Materials/Buildings/jalousiwindow.jalousiwindow","0","12","12","1","14.918018","0","0"
"/Game/Materials/Buildings/PaleYellowWall1_001.PaleYellowWall1_001","0","12","12","1","15.534439","0","0"
"/Game/Materials/Buildings/whitewallNoBump_001.whitewallNoBump_001","0","12","12","1","15.195350","0","0"
"/Game/Materials/Buildings/WindowBorder_001.WindowBorder_001","0","12","12","1","14.523870","0","0"
"/Game/Materials/Buildings/DarkFineWood_001.DarkFineWood_001","0","12","12","1","14.692063","0","0"
"/Game/Materials/Buildings/concreteGround_001.concreteGround_001","0","12","12","1","14.232219","0","0"
"/Game/Materials/Buildings/FrontColor.FrontColor","0","12","12","1","14.560190","0","0"
"/Game/Materials/Buildings/GreenRoofMetallic_001.GreenRoofMetallic_001","0","12","12","1","13.944123","0","0"
"/Game/Materials/Buildings/GreenRoof_001.GreenRoof_001","0","12","12","1","14.042094","0","0"
"/Game/Materials/Buildings/roughWall_001.roughWall_001","0","12","12","1","13.969892","0","0"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","0","17","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","0","8","1","0.000000","0","0"
"/Engine/VREditor/BasicMeshes/M_Floor_01.M_Floor_01","0","0","21","1","0.000000","0","0"
"/Game/Textures/WOOD/M_DarkFineWood.M_DarkFineWood","0","0","12","1","0.000000","0","0"
"/Game/Textures/WINDOW/M_WindowBorder.M_WindowBorder","0","0","12","1","0.000000","0","0"
"/Game/Textures/WINDOW/M_JalousiGlass.M_JalousiGlass","0","0","12","1","0.000000","0","0"
"/Game/Textures/WALLS/M_BlueRoughWall_0_9.M_BlueRoughWall_0_9","0","0","12","1","0.000000","0","0"
"/Game/Textures/ROOF/M_GreenRoofPlain.M_GreenRoofPlain","0","0","12","1","0.000000","0","0"
"/Game/Textures/ROOF/M_GreenRoofMetallic_0_9.M_GreenRoofMetallic_0_9","0","0","12","1","0.000000","0","0"
"/Game/Textures/ROOF/M_GreenRoofMetallicLight_0_9.M_GreenRoofMetallicLight_0_9","0","0","12","1","0.000000","0","0"
"/Game/Textures/METALS/M_Doorknob.M_Doorknob","0","0","12","1","0.000000","0","0"
"/Game/Textures/FLOOR/M_ConcreteGround.M_ConcreteGround","0","0","12","1","0.000000","0","0"
